Ident,IP,Geohash,LAT,LON,Address,City,State,
BIRD,166.254.179.161,dpsdeupc,42.649134,-83.496398,10655 Highland Road M-59,White Lake,MI,
MIGB,166.254.110.22,dpss1n2c,42.925183,-83.626737,11805 South Saginaw,Grand Blanc,MI,
MCTY,166.254.110.26,dps2xk1k,42.298057,-83.703102,2901 Baxter Road,Ann Arbor,MI,
MILA,166.254.179.162,dpkrrv0p,42.084492,-83.682791,32 Main Street,Milan,MI,
MIPT,97.107.83.65,dpkqr5bm,41.901380,-83.715223,50 Saline Street,Petersburg,MI,
FLPL,166.254.179.163,djqh23ee,30.287176,-81.546446,10265 Beach Blvd,Jacksonville,FL,
FLSM,166.254.179.160,dhvntsqr,27.885909,-82.718223,6060 126th Ave North,Largo,FL,
FLSS,166.254.179.164,djjspq40,28.861109,-81.943946,444 County Rd 466A,Fruitland Park,FL,
FLV1,166.254.110.19,djjsqw6k,28.907124,-81.976748,1075 Old Camp Rd,The Villages,FL,
FLV2,166.254.110.25,djjsje0x,28.845936,-82.023067,3608 Kiessel Rd,The Villages,FL,
IDIG,166.254.179.159,dp4gcc6w,40.042177,-86.052283,500 Park 32 West Drive,Noblesville,IN,
JACO,166.180.25.163,dng426d1,38.378277,-85.767174,500 Hamburg Way,Sellersburg,IN,
MOON,moon-skylark-cors.ddns.net,dpnyw80h,40.518344,-80.222055,934 Brodhead Road,Moon,PA,
PCRL,50.199.180.19,dppnk2jj,40.474644,-79.962609,4501 Hatfield Street, Pittsburgh,PA,
PINK,71.112.250.107,dpnvp2b1,40.258240,-80.189114,119 West Pike Street,Canonsburgh,PA,
PACL,208.68.167.162,dppw6sy0,40.499731,-79.334933,11805 Marshall Rd,Clarksburg,PA,
DEAR,166.180.25.161,dpsbg0mb,42.320741,-83.180345,13939 Michigan Ave,Dearborn,MI,
WIER,166.180.25.158,f00t1n9v,45.915530,-89.250189,211 East Wall Street,Eagle River,WI,
WIHW,166.180.25.162,cbnvy0xq,46.014558,-91.484082,10558 Main St,Hayward,WI,
MIUP,166.180.25.164,f03h074p,47.127063,-88.579739,115 Quincy St,Hancock,MI,
MIGR,166.180.25.160,dpgy062u,44.661605,-84.714242,228 Michigan Ave,Grayling,MI,
